Package,Cluster,Cluster Size,Pre-Processing Technique,Threshold,Features (Genes),TN,FP,FN,TP,F Beta,Penalty,Solver,C
sklearn,Inh L1-4 LAMP5 LCP2,356,Binary Score,0.01,4741,3045,5,1,70,0.943396,l2,lbfgs,1
sklearn,Exc L2-3 LINC00507 FREM3,2284,Binary Score,0.01,4741,2634,30,23,434,0.938176,l2,lbfgs,1
sklearn,Exc L2 LAMP5 LTK,812,Binary Score,0.01,4741,2941,18,12,150,0.899281,l2,lbfgs,1
sklearn,Inh L5-6 PVALB LGR5,52,Binary Score,0.01,4741,3110,0,0,11,1,l2,lbfgs,1
sklearn,Inh L2-4 SST FRZB,64,Binary Score,0.01,4741,3108,0,6,7,0.853659,l2,lbfgs,1
sklearn,Inh L2-3 VIP CASC6,45,Binary Score,0.01,4741,3110,2,2,7,0.777778,l2,lbfgs,1
sklearn,Exc L3-5 RORB TWIST2,93,Binary Score,0.01,4741,3101,1,14,5,0.581395,l2,lbfgs,1
sklearn,Inh L2-4 VIP CBLN1,67,Binary Score,0.01,4741,3108,0,1,12,0.983607,l2,lbfgs,1
sklearn,Inh L1-4 VIP CHRNA6,25,Binary Score,0.01,4741,3116,0,2,3,0.882353,l2,lbfgs,1
sklearn,Exc L2-4 LINC00507 GLP2R,170,Binary Score,0.01,4741,3083,4,12,22,0.797101,l2,lbfgs,1
sklearn,Exc L5-6 THEMIS CRABP1,147,Binary Score,0.01,4741,3088,4,1,28,0.89172,l2,lbfgs,1
sklearn,Exc L4-6 FEZF2 IL26,344,Binary Score,0.01,4741,3052,0,0,69,1,l2,lbfgs,1
sklearn,Inh L2-5 PVALB SCUBE3,32,Binary Score,0.01,4741,3115,0,0,6,1,l2,lbfgs,1
sklearn,Inh L4-6 SST B3GAT2,182,Binary Score,0.01,4741,3081,3,1,36,0.932642,l2,lbfgs,1
sklearn,Inh L1-2 VIP TSPAN12,42,Binary Score,0.01,4741,3113,0,1,7,0.972222,l2,lbfgs,1
sklearn,Inh L2-4 VIP SPAG17,33,Binary Score,0.01,4741,3112,2,3,4,0.645161,l2,lbfgs,1
sklearn,Exc L5-6 THEMIS FGF10,78,Binary Score,0.01,4741,3105,1,5,10,0.847458,l2,lbfgs,1
sklearn,Inh L5-6 SST TH,27,Binary Score,0.01,4741,3116,0,1,4,0.952381,l2,lbfgs,1
sklearn,Inh L4-5 PVALB MEPE,64,Binary Score,0.01,4741,3108,0,4,9,0.918367,l2,lbfgs,1
sklearn,Inh L2-6 LAMP5 CA1,256,Binary Score,0.01,4741,3069,1,0,51,0.984556,l2,lbfgs,1
sklearn,Exc L4-5 RORB DAPK2,173,Binary Score,0.01,4741,3084,3,8,26,0.866667,l2,lbfgs,1
