Package,Cluster,Cluster Size,Pre-Processing Technique,Threshold,Features (Genes),TN,FP,FN,TP,F Beta,Penalty,Solver,C
scikit-learn,Inh L1-4 LAMP5 LCP2,356,Binary Score,0.01,4741,3047,3,1,70,0.964187,l2,lbfgs,1
scikit-learn,Exc L2-3 LINC00507 FREM3,2284,Binary Score,0.01,4741,2628,36,31,426,0.924078,l2,lbfgs,1
scikit-learn,Exc L2 LAMP5 LTK,812,Binary Score,0.01,4741,2943,16,15,147,0.902948,l2,lbfgs,1
scikit-learn,Inh L5-6 PVALB LGR5,52,Binary Score,0.01,4741,3110,0,5,6,0.857143,l2,lbfgs,1
scikit-learn,Inh L2-4 SST FRZB,64,Binary Score,0.01,4741,3108,0,12,1,0.294118,l2,lbfgs,1
scikit-learn,Inh L2-3 VIP CASC6,45,Binary Score,0.01,4741,3112,0,7,2,0.588235,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB TWIST2,93,Binary Score,0.01,4741,3102,0,19,0,0,l2,lbfgs,1
scikit-learn,Inh L2-4 VIP CBLN1,67,Binary Score,0.01,4741,3108,0,9,4,0.689655,l2,lbfgs,1
scikit-learn,Inh L1-4 VIP CHRNA6,25,Binary Score,0.01,4741,3116,0,5,0,0,l2,lbfgs,1
scikit-learn,Exc L2-4 LINC00507 GLP2R,170,Binary Score,0.01,4741,3086,1,18,16,0.784314,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS CRABP1,147,Binary Score,0.01,4741,3091,1,3,26,0.948905,l2,lbfgs,1
scikit-learn,Exc L4-6 FEZF2 IL26,344,Binary Score,0.01,4741,3052,0,0,69,1,l2,lbfgs,1
scikit-learn,Inh L2-5 PVALB SCUBE3,32,Binary Score,0.01,4741,3115,0,3,3,0.833333,l2,lbfgs,1
scikit-learn,Inh L4-6 SST B3GAT2,182,Binary Score,0.01,4741,3083,1,9,28,0.915033,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP TSPAN12,42,Binary Score,0.01,4741,3113,0,5,3,0.75,l2,lbfgs,1
scikit-learn,Inh L2-4 VIP SPAG17,33,Binary Score,0.01,4741,3114,0,7,0,0,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS FGF10,78,Binary Score,0.01,4741,3105,1,11,4,0.571429,l2,lbfgs,1
scikit-learn,Inh L5-6 SST TH,27,Binary Score,0.01,4741,3116,0,2,3,0.882353,l2,lbfgs,1
scikit-learn,Inh L4-5 PVALB MEPE,64,Binary Score,0.01,4741,3108,0,8,5,0.757576,l2,lbfgs,1
scikit-learn,Inh L2-6 LAMP5 CA1,256,Binary Score,0.01,4741,3070,0,0,51,1,l2,lbfgs,1
scikit-learn,Exc L4-5 RORB DAPK2,173,Binary Score,0.01,4741,3086,1,9,25,0.905797,l2,lbfgs,1
scikit-learn,Inh L4-5 SST STK32A,93,Binary Score,0.01,4741,3103,0,6,12,0.909091,l2,lbfgs,1
scikit-learn,Inh L2-6 VIP QPCT,37,Binary Score,0.01,4741,3114,0,6,1,0.454545,l2,lbfgs,1
scikit-learn,Inh L3-5 SST ADGRG6,132,Binary Score,0.01,4741,3095,0,5,21,0.954545,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB FILIP1L,153,Binary Score,0.01,4741,3090,1,22,8,0.606061,l2,lbfgs,1
scikit-learn,Inh L5-6 SST NPM1P10,79,Binary Score,0.01,4741,3105,0,5,11,0.916667,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB ESR1,1428,Binary Score,0.01,4741,2831,5,2,283,0.98469,l2,lbfgs,1
scikit-learn,Inh L4-6 SST GXYLT2,41,Binary Score,0.01,4741,3113,0,3,5,0.892857,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP GGH,68,Binary Score,0.01,4741,3106,1,9,5,0.657895,l2,lbfgs,1
scikit-learn,Inh L1 SST NMBR,283,Binary Score,0.01,4741,3064,0,2,55,0.99278,l2,lbfgs,1
scikit-learn,Exc L5-6 FEZF2 EFTUD1P1,314,Binary Score,0.01,4741,3058,0,5,58,0.983051,l2,lbfgs,1
scikit-learn,Inh L1-2 LAMP5 DBP,21,Binary Score,0.01,4741,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Exc L6 FEZF2 SCUBE1,52,Binary Score,0.01,4741,3109,1,2,9,0.882353,l2,lbfgs,1
scikit-learn,Inh L1-4 VIP PENK,17,Binary Score,0.01,4741,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP CHRM2,175,Binary Score,0.01,4741,3083,3,10,25,0.85034,l2,lbfgs,1
scikit-learn,Endo L2-6 NOSTRIN,9,Binary Score,0.01,4741,3119,0,2,0,0,l2,lbfgs,1
scikit-learn,Inh L1-2 PAX6 TNFAIP8L3,16,Binary Score,0.01,4741,3118,0,3,0,0,l2,lbfgs,1
scikit-learn,Inh L2-5 VIP SERPINF1,55,Binary Score,0.01,4741,3110,0,8,3,0.652174,l2,lbfgs,1
scikit-learn,Exc L4-6 RORB C1R,160,Binary Score,0.01,4741,3086,3,10,22,0.833333,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP CCDC184,64,Binary Score,0.01,4741,3108,0,11,2,0.47619,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP PCDH20,61,Binary Score,0.01,4741,3108,1,6,6,0.75,l2,lbfgs,1
scikit-learn,Exc L4-5 FEZF2 SCN4B,25,Binary Score,0.01,4741,3116,0,1,4,0.952381,l2,lbfgs,1
scikit-learn,Inh L5-6 GAD1 GLP1R,27,Binary Score,0.01,4741,3115,0,6,0,0,l2,lbfgs,1
scikit-learn,Inh L4-6 PVALB SULF1,167,Binary Score,0.01,4741,3086,1,15,19,0.833333,l2,lbfgs,1
scikit-learn,Exc L4-5 RORB FOLH1B,870,Binary Score,0.01,4741,2937,10,14,160,0.936768,l2,lbfgs,1
scikit-learn,Inh L1-2 GAD1 MC4R,107,Binary Score,0.01,4741,3100,0,4,17,0.955056,l2,lbfgs,1
scikit-learn,Inh L1 SST CHRNA4,52,Binary Score,0.01,4741,3110,0,9,2,0.526316,l2,lbfgs,1
scikit-learn,Inh L2-4 PVALB WFDC2,387,Binary Score,0.01,4741,3038,6,9,68,0.911528,l2,lbfgs,1
scikit-learn,Oligo L1-6 OPALIN,313,Binary Score,0.01,4741,3057,1,1,62,0.984127,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP ADAMTSL1,72,Binary Score,0.01,4741,3106,1,3,11,0.887097,l2,lbfgs,1
