Package,Pre-Processing Technique,Threshold,Cluster,Cluster Size,Features (Genes),Fbeta,layer,num_layers,activation,kernel_regularizer,optimizer,loss
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 LAMP5 LCP2,356,11190,0.970149,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L2-3 LINC00507 FREM3,2284,11190,0.922747,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L2 LAMP5 LTK,812,11190,0.774648,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,0.56338,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 SST FRZB,64,11190,0.649351,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-3 VIP CASC6,45,11190,0.588235,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB TWIST2,93,11190,0.574713,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0.454545,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L2-4 LINC00507 GLP2R,170,11190,0.582524,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS CRABP1,147,11190,0.69378,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 FEZF2 IL26,344,11190,0.997067,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,0.304878,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST B3GAT2,182,11190,0.838926,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP TSPAN12,42,11190,0.384615,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP SPAG17,33,11190,0.373134,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS FGF10,78,11190,0.180723,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST TH,27,11190,0.8,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 PVALB MEPE,64,11190,0.584416,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 LAMP5 CA1,256,11190,0.878136,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB DAPK2,173,11190,0.609244,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 SST STK32A,93,11190,0.8,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 VIP QPCT,37,11190,0.454545,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L3-5 SST ADGRG6,132,11190,0.462185,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB FILIP1L,153,11190,0.612245,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST NPM1P10,79,11190,0.75,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB ESR1,1428,11190,0.983205,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0.78125,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP GGH,68,11190,0.5,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST NMBR,283,11190,0.921659,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 EFTUD1P1,314,11190,0.931174,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 LAMP5 DBP,21,11190,0.1875,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 SCUBE1,52,11190,0.806452,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP PENK,17,11190,0,100 100 100,3,relu,1.00E-05,adam,SCCE
