Package,Pre-Processing Technique,Threshold,Cluster,Cluster Size,Features (Genes),Fbeta,n_estimators
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 LAMP5 LCP2,356,11190,0.953678,1000
scikit-learn,Coefficient of Variation,0.52,Exc L2-3 LINC00507 FREM3,2284,11190,0.882122,1000
scikit-learn,Coefficient of Variation,0.52,Exc L2 LAMP5 LTK,812,11190,0.835322,1000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,1,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 SST FRZB,64,11190,0.47619,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-3 VIP CASC6,45,11190,0.754717,1000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB TWIST2,93,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0.757576,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0.769231,1000
scikit-learn,Coefficient of Variation,0.52,Exc L2-4 LINC00507 GLP2R,170,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS CRABP1,147,11190,0.818182,1000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 FEZF2 IL26,344,11190,1,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,1,1000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST B3GAT2,182,11190,0.84507,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP TSPAN12,42,11190,0.972222,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP SPAG17,33,11190,0.789474,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS FGF10,78,11190,0.744681,1000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST TH,27,11190,0.952381,1000
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 PVALB MEPE,64,11190,0.689655,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 LAMP5 CA1,256,11190,0.984556,1000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB DAPK2,173,11190,0.816327,1000
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 SST STK32A,93,11190,0.957447,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 VIP QPCT,37,11190,0.869565,1000
scikit-learn,Coefficient of Variation,0.52,Inh L3-5 SST ADGRG6,132,11190,0.954545,1000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB FILIP1L,153,11190,0.263158,1000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST NPM1P10,79,11190,0.875,1000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB ESR1,1428,11190,0.91201,1000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0.9375,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP GGH,68,11190,0.869565,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST NMBR,283,11190,0.959596,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 EFTUD1P1,314,11190,0.940299,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 LAMP5 DBP,21,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 SCUBE1,52,11190,1,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP PENK,17,11190,0.625,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CHRM2,175,11190,0.63745,1000
scikit-learn,Coefficient of Variation,0.52,Endo L2-6 NOSTRIN,9,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 TNFAIP8L3,16,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP SERPINF1,55,11190,1,1000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB C1R,160,11190,0.77381,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CCDC184,64,11190,0.555556,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP PCDH20,61,11190,0.859375,1000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0.952381,1000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 GAD1 GLP1R,27,11190,1,1000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 PVALB SULF1,167,11190,0.807692,1000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB FOLH1B,870,11190,0.927152,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 GAD1 MC4R,107,11190,0.84,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST CHRNA4,52,11190,0.740741,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 PVALB WFDC2,387,11190,0.738964,1000
scikit-learn,Coefficient of Variation,0.52,Oligo L1-6 OPALIN,313,11190,0.984127,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP ADAMTSL1,72,11190,0.833333,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 SST CALB1,279,11190,0.848765,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS DCSTAMP,53,11190,0.789474,1000
scikit-learn,Coefficient of Variation,0.52,Astro L1-2 FGFR3 GFAP,61,11190,0.625,1000
scikit-learn,Coefficient of Variation,0.52,Astro L1-6 FGFR3 SLC14A1,230,11190,0.851852,1000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB COL22A1,160,11190,0.914634,1000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST NPY,15,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST HPGD,60,11190,0.9375,1000
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 OR2T8,19,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 CDH12,90,11190,0.849057,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 RORB TTC12,167,11190,0.906593,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 SLC17A7 IL15,56,11190,0.957447,1000
scikit-learn,Coefficient of Variation,0.52,Exc L3-4 RORB CARM1P1,280,11190,0.883621,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 ABO,373,11190,0.989446,1000
scikit-learn,Coefficient of Variation,0.52,Micro L1-3 TYROBP,63,11190,0.869565,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP LBH,47,11190,0.945946,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 SST BAGE2,108,11190,0.917431,1000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST KLHDC8A,63,11190,0.918367,1000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 VIP HS3ST3A1,80,11190,0.8,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 PAX6 SYT6,29,11190,0.909091,1000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST MIR548F2,80,11190,0.78125,1000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB SEMA3E,777,11190,0.879121,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP OPRM1,52,11190,0.740741,1000
scikit-learn,Coefficient of Variation,0.52,OPC L1-6 PDGFRA,238,11190,0.983607,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP TYR,62,11190,1,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS C1QL3,1537,11190,0.96764,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 LAMP5 LCP2,356,11190,0.953678,1500
scikit-learn,Coefficient of Variation,0.52,Exc L2-3 LINC00507 FREM3,2284,11190,0.886301,1500
scikit-learn,Coefficient of Variation,0.52,Exc L2 LAMP5 LTK,812,11190,0.835322,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,1,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 SST FRZB,64,11190,0.294118,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-3 VIP CASC6,45,11190,0.754717,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB TWIST2,93,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0.816327,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0.769231,1500
scikit-learn,Coefficient of Variation,0.52,Exc L2-4 LINC00507 GLP2R,170,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS CRABP1,147,11190,0.818182,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 FEZF2 IL26,344,11190,1,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,1,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST B3GAT2,182,11190,0.829493,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP TSPAN12,42,11190,0.972222,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP SPAG17,33,11190,0.666667,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS FGF10,78,11190,0.784314,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST TH,27,11190,0.952381,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 PVALB MEPE,64,11190,0.47619,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 LAMP5 CA1,256,11190,0.984556,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB DAPK2,173,11190,0.833333,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 SST STK32A,93,11190,0.957447,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 VIP QPCT,37,11190,0.869565,1500
scikit-learn,Coefficient of Variation,0.52,Inh L3-5 SST ADGRG6,132,11190,0.954545,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB FILIP1L,153,11190,0.4,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST NPM1P10,79,11190,0.875,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB ESR1,1428,11190,0.91672,1500
