Package,Pre-Processing Technique,Cluster,Cluster Size,Threshold,Features (Genes),Feature Reduction Technique,Kernel,Regularization,Gamma,TN,FP,FN,TP,Precision,Recall,F1 Score,F Beta
scikit-learn,Coefficient of Variation,Inh L1-4 LAMP5 LCP2,356,0.52,11190,n/a,sigmoid,1,scale,3048,2,1,70,0.972222,0.985915,0.979021,0.97493
scikit-learn,Coefficient of Variation,Exc L2-3 LINC00507 FREM3,2284,0.52,11190,n/a,sigmoid,1,scale,2483,181,300,157,0.464497,0.343545,0.394969,0.433941
scikit-learn,Coefficient of Variation,Exc L2 LAMP5 LTK,812,0.52,11190,n/a,sigmoid,1,scale,2931,28,64,98,0.777778,0.604938,0.680556,0.735736
scikit-learn,Coefficient of Variation,Inh L5-6 PVALB LGR5,52,0.52,11190,n/a,sigmoid,1,scale,3110,0,11,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 SST FRZB,64,0.52,11190,n/a,sigmoid,1,scale,3108,0,13,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-3 VIP CASC6,45,0.52,11190,n/a,sigmoid,1,scale,3112,0,9,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L3-5 RORB TWIST2,93,0.52,11190,n/a,sigmoid,1,scale,3102,0,19,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 VIP CBLN1,67,0.52,11190,n/a,sigmoid,1,scale,3108,0,13,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-4 VIP CHRNA6,25,0.52,11190,n/a,sigmoid,1,scale,3116,0,5,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L2-4 LINC00507 GLP2R,170,0.52,11190,n/a,sigmoid,1,scale,3086,1,34,0,0,0,0,0
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS CRABP1,147,0.52,11190,n/a,sigmoid,1,scale,3092,0,29,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-6 FEZF2 IL26,344,0.52,11190,n/a,sigmoid,1,scale,3052,0,0,69,1,1,1,1
scikit-learn,Coefficient of Variation,Inh L2-5 PVALB SCUBE3,32,0.52,11190,n/a,sigmoid,1,scale,3115,0,6,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L4-6 SST B3GAT2,182,0.52,11190,n/a,sigmoid,1,scale,3084,0,36,1,1,0.027027,0.052632,0.121951
scikit-learn,Coefficient of Variation,Inh L1-2 VIP TSPAN12,42,0.52,11190,n/a,sigmoid,1,scale,3113,0,8,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 VIP SPAG17,33,0.52,11190,n/a,sigmoid,1,scale,3114,0,7,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS FGF10,78,0.52,11190,n/a,sigmoid,1,scale,3106,0,15,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 SST TH,27,0.52,11190,n/a,sigmoid,1,scale,3116,0,5,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L4-5 PVALB MEPE,64,0.52,11190,n/a,sigmoid,1,scale,3108,0,13,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-6 LAMP5 CA1,256,0.52,11190,n/a,sigmoid,1,scale,3070,0,0,51,1,1,1,1
scikit-learn,Coefficient of Variation,Exc L4-5 RORB DAPK2,173,0.52,11190,n/a,sigmoid,1,scale,3086,1,34,0,0,0,0,0
scikit-learn,Coefficient of Variation,Inh L4-5 SST STK32A,93,0.52,11190,n/a,sigmoid,1,scale,3103,0,18,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-6 VIP QPCT,37,0.52,11190,n/a,sigmoid,1,scale,3114,0,7,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L3-5 SST ADGRG6,132,0.52,11190,n/a,sigmoid,1,scale,3095,0,26,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L3-5 RORB FILIP1L,153,0.52,11190,n/a,sigmoid,1,scale,3091,0,30,0,1,0,0,0
