,cluster,log_size,lgbm_default_training_cov_3.5_fbeta,lgbm_default_validation_cov_3.5_fbeta,lgbm_optimal_training_cov_3.5_fbeta,lgbm_optimal_validation_cov_3.5_fbeta,lr_default_training_cov_3.5_fbeta,lr_default_validation_cov_3.5_fbeta,lr_optimal_training_cov_3.5_fbeta,lr_optimal_validation_cov_3.5_fbeta,rfmulti_default_training_cov_3.5_fbeta,rfmulti_default_validation_cov_3.5_fbeta,rfmulti_optimal_training_cov_3.5_fbeta,rfmulti_optimal_validation_cov_3.5_fbeta,svm_default_training_cov_3.5_fbeta,svm_default_validation_cov_3.5_fbeta,svm_optimal_training_cov_3.5_fbeta,svm_optimal_validation_cov_3.5_fbeta,nn_default_training_cov_3.5_fbeta,nn_default_validation_cov_3.5_fbeta,nn_optimal_training_cov_3.5_fbeta,nn_optimal_validation_cov_3.5_fbeta
0,Inh L1-4 LAMP5 LCP2,8.475733430966399,0.9509202453987732,0.9106529209621994,1.0,0.9641873278236914,1.0,0.9174311926605504,1.0,0.9749303621169916,1.0,0.9749303621169916,1.0,0.9749303621169916,1.0,0.9749303621169916,1.0,0.9749303621169916,1.0,0.950413223140496,1.0,0.9718309859154932
1,Exc L2-3 LINC00507 FREM3,11.157346935362844,0.8666037226868087,0.6998975759644929,0.9966462525517644,0.9510519536281664,1.0,0.9090909090909092,1.0,0.9283529925731758,1.0,0.9122308004876069,1.0,0.913715913715914,0.9869386557088348,0.9507195813344964,1.0,0.9213385484571924,1.0,0.9397849462365592,1.0,0.9440410081161896
2,Exc L2 LAMP5 LTK,9.665335917185175,0.9425660027790644,0.8985507246376813,0.995475113122172,0.9367088607594934,1.0,1.0,1.0,0.9022556390977444,1.0,0.8812949640287769,1.0,0.8872901678657074,0.9864920180106428,0.9383033419023136,1.0,0.8896103896103896,1.0,0.8970976253298152,1.0,0.9120734908136484
3,Inh L5-6 PVALB LGR5,5.7004397181410935,0.7485029940119761,0.5633802816901409,1.0,1.0,1.0,0.8333333333333334,1.0,0.980392156862745,1.0,0.9090909090909092,1.0,1.0,1.0,0.980392156862745,1.0,0.980392156862745,1.0,0.8208955223880596,1.0,0.8730158730158731
4,Inh L2-4 SST FRZB,6.0,0.8333333333333333,0.0,1.0,0.9649122807017544,1.0,0.7627118644067796,1.0,0.8888888888888891,1.0,0.6896551724137931,1.0,0.29411764705882354,0.8333333333333334,0.0,1.0,0.9016393442622951,1.0,0.8771929824561402,1.0,0.8219178082191781
5,Inh L2-3 VIP CASC6,5.491853096329675,0.6060606060606061,0.29411764705882354,1.0,0.9459459459459459,1.0,0.9090909090909091,1.0,0.8620689655172413,1.0,0.9183673469387754,1.0,0.8888888888888888,0.9842519685039368,0.5882352941176471,1.0,0.9090909090909092,0.9629629629629628,0.6000000000000001,1.0,0.8536585365853658
6,Exc L3-5 RORB TWIST2,6.539158811108031,0.8059210526315791,0.5084745762711863,1.0,0.8450704225352113,1.0,0.9118279569892472,1.0,0.3703703703703704,1.0,0.0,1.0,0.0,0.8854166666666666,0.0,1.0,0.5084745762711863,1.0,0.7936507936507935,1.0,0.6716417910447762
7,Inh L2-4 VIP CBLN1,6.066089190457772,0.6835937500000001,0.3763440860215053,1.0,0.9016393442622951,1.0,0.935483870967742,1.0,0.8771929824561402,1.0,0.8490566037735849,1.0,0.8771929824561402,0.9840425531914894,0.7575757575757577,1.0,0.9649122807017544,1.0,0.9016393442622951,1.0,0.9649122807017544
8,Inh L1-4 VIP CHRNA6,4.6438561897747235,0.33175355450236965,0.273972602739726,1.0,1.0,1.0,0.9375,1.0,0.5555555555555556,1.0,0.9523809523809524,1.0,0.9523809523809524,0.9701492537313434,0.0,1.0,0.8823529411764706,1.0,0.5555555555555556,1.0,0.8620689655172415
9,Exc L2-4 LINC00507 GLP2R,7.409390936137703,0.7280701754385965,0.4736842105263158,1.0,0.9036144578313252,1.0,0.984126984126984,1.0,0.6962025316455696,1.0,0.5172413793103449,1.0,0.5172413793103449,0.9763948497854078,0.8333333333333333,1.0,0.6927710843373495,1.0,0.6930693069306929,1.0,0.7530120481927711
10,Exc L5-6 THEMIS CRABP1,7.1996723448363635,0.9151785714285716,0.802919708029197,1.0,0.9150326797385622,1.0,0.9809711286089235,1.0,0.9398496240601504,1.0,0.87248322147651,1.0,0.8385093167701864,1.0,0.9489051094890512,1.0,0.9574468085106383,1.0,0.9150326797385622,1.0,0.9854014598540146
11,Exc L4-6 FEZF2 IL26,8.426264754702098,0.9812108559498958,0.9672131147540984,1.0,1.0,1.0,0.8974358974358974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Inh L2-5 PVALB SCUBE3,5.0,0.7037037037037037,0.5434782608695652,1.0,0.9615384615384616,1.0,0.7627118644067796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Inh L4-6 SST B3GAT2,7.507794640198697,0.8541266794625718,0.718232044198895,1.0,0.8955223880597014,1.0,0.9749303621169916,1.0,0.9090909090909091,1.0,0.8371040723981901,1.0,0.9523809523809524,0.9943714821763604,0.8823529411764706,1.0,0.8757062146892655,1.0,0.92485549132948,1.0,0.9067357512953368
14,Inh L1-2 VIP TSPAN12,5.392317422778762,0.8407079646017699,0.625,1.0,0.875,1.0,0.9574468085106383,1.0,0.9375,1.0,0.9375,1.0,0.9722222222222222,1.0,0.4166666666666667,1.0,1.0,0.9917355371900828,0.8928571428571429,1.0,1.0
15,Inh L2-4 VIP SPAG17,5.044394119358453,0.3035714285714286,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5263157894736843,1.0,0.8695652173913042,1.0,0.8695652173913042,0.9027777777777778,0.0,1.0,0.6410256410256411,1.0,0.3488372093023256,1.0,0.8064516129032258
